Author,Pubs
"Pellerin, M.",1
"Salm�n, P.",1
"Mulder, G.A.",1
"Mulder, E.",1
"Gatt, M.C.",1
"Parise, K.L.",1
"Donnellan, S.C.",1
"Schreiber, E.A.",1
"Froy, H.",2
"Tom�s, G.",1
"Devlin, P.",1
"Rey, B.",1
"Puechmaille, S.J.",1
"Simide, R.",1
"Whelan, C.V.",1
"Van De Zande, L.",1
"Rodrigues, L.",1
"Biro, P.A.",1
"Yoshikawa, Y.",1
"Molbert, N.",1
"Huang, Z.",1
"MorenoRueda, G.",1
"Ceciliani, F.",1
"Dearborn, D.C.",2
"Burgess, M.",1
"Komdeur, J.",1
"Dobson, F.S.",1
"Mak, J.",2
"Kane, O.J.",1
"Haussmann, M.F.",8
"Smiddy, P.",1
"Doligez, B.",2
"Richardson, D.S.",1
"Angelier, F.",3
"O�Connell, M.J.",1
"Illera, J.C.",1
"Bridges, C.R.",1
"Goutte, A.",1
"Ransome, R.D.",1
"Palsb�ll, P.J.",1
"O'Shea, T.J.",1
"Boughton, R.K.",1
"Brown, G.",1
"Kacprzyk, J.",1
"Leitch, A.R.",1
"Watt, K.",1
"Greives, T.J.",1
"Schwarzenberger, F.",1
"Faulkes, C.G.",1
"Barrett, E.L.B.",1
"Foley, N.M.",1
"Mart�nez-de la Puente, J.",1
"Sabo, K.M.",1
"Gillanders, B.M.",1
"Hansen, S.H.",1
"Romano, A.",1
"Hine, K.",1
"Noguera, J.C.",1
"Hatase, H.",1
"Foster, J.T.",1
"Lee, W.W.",1
"Uhlrich, P.",1
"DeCarlo, E.",1
"Teerikorpi, P.",1
"Hammers, M.",1
"Li, Z.",1
"Robertson, B.C.",1
"Penn, D.J.",1
"Teunissen, N.",1
"Ari�o, A.H.",1
"Catry, P.",1
"Sauerwein, H.",1
"Beckmann, C.",1
"Kovacs, K.M.",1
"Bertozzi, T.",1
"Heasman, K.",1
"Kirby, R.",1
"Argyle, D.J.",2
"Nisbet, I.C.T.",2
"K�rkk�inen, T.",2
"Kaewmong, P.",1
"Thompson, P.M.",1
"Franklin, C.E.",1
"Graham, J.L.",1
"Caprioli, M.",1
"Kasugai, T.",1
"Kaewkool, M.",1
"Robin, J.P.",1
"Nussey, D.H.",2
"Nganvongpanit, K.",2
"Boonstra, R.",1
"Hamer, D.J.",1
"Poommouang, A.",1
"Whiteman, J.P.",1
"B�rub�, M.",1
"Massemin, S.",1
"Elsey, R.M.",1
"Hasselquist, D.",1
"Tarka, M.",1
"Kitaysky, A.S.",1
"Ribout, C.",1
"Kilpatrick, C.W.",1
"Gemmell, N.J.",1
"Bize, P.",3
"Chailangkarn, S.",1
"Clarke, M.",1
"Wilbourn, R.V.",2
"Kriangwanich, W.",1
"Schull, Q.",1
"Regis, C.",1
"Augustin, J.",1
"Cantarero, A.",1
"Seibt, K.D.",1
"Watanabe, K.K.",1
"Dakin, R.",1
"Petit, E.J.",1
"Ineson, K.M.",1
"Kittiwattanawong, K.",1
"Stevenson, K.",1
"Stier, A.",4
"Nasir, L.",3
"Holekamp, K.E.",1
"Seeker, L.A.",1
"Cerchiara, J.A.",1
"Denham, J.",1
"Riabowol, K.",1
"Br�mmendorf, T.H.",1
"Blount, J.D.",1
"Velando, A.",1
"Horn, T.",1
"Wong, P.B.Y.",1
"Marra, P.P.",1
"S�nchezMontes, G.",1
"Wheelwright, N.T.",1
"Okamoto, H.",1
"D�azPaniagua, C.",1
"Baerlocher, G.M.",2
"Izzo, C.",2
"Mulder, E.G.A.",1
"Tricola, G.M.",1
"Drobniak, S.",1
"Boersma, P.D.",1
"Vleck, C.M.",5
"BenDavid, M.",1
"Lydersen, C.",1
"Alldredge, M.W.",1
"Marciau, C.",1
"Prasitwattanaseree, S.",1
"McKevitt, T.P.",2
"Scott, N.M.",1
"Laaksonen, T.",2
"Garant, D.",1
"AbolinsAbols, M.",1
"Apfelbeck, B.",1
"Dunshea, G.",1
"Lema�tre, J.F.",1
"Gaillard, J.M.",1
"Dietz, K.",1
"Leonida, S.R.L.",1
"Rice, K.S.",1
"Marcot, B.G.",1
"Uchida, I.",1
"Terao, K.",1
"Underwood, S.L.",1
"Bao, B.",1
"Alliot, F.",1
"Heidinger, B.J.",2
"Ostrander, E.A.",1
"H�ussler, S.",1
"Fan, M.",1
"Vilches, A",1
"Gustafsson, L.",3
"Boner, W.",2
"Olsen, M.T.",1
"Heffelfinger, D.",1
"Aranzamendi, N.H.",1
"Ruiz-Rodr�guez, M.",1
"Gaillard, S.",1
"Salomons, H.M.",1
"Young, R.",1
"Beirne, C.",1
"Nord, A.",1
"Verhulst, S.",6
"Hares, M.",1
"Atema, E.",1
"Harrington, L.",1
"Pauli, J.N.",2
"Griffiths, K.",2
"Prunkard, D.",1
"Cao, E.",1
"Rew, M.B.",1
"Touzalin, F.",1
"Parolini, M.",1
"Hoelzl, F.",1
"Pemberton, J.M.",1
"McManus, M.C.",1
"Tsukamoto, K.",1
"Hsu, B.Y.",1
"Brown, J.L.",1
"Lewin, N.",1
"Parker, H.G.",1
"Bergeron, P.",1
"Tilgar, V.",1
"Helle, S.",1
"Nam, K.H.",1
"Dobosz, S.",1
"Risques, R.A.",1
"Teeling, E.C.",1
"Somgird, C.",1
"Bensch, S.",2
"Frie, A.K.",1
"Giulotto, E.",1
"Panda, B.",1
"Jones, G.",1
"Santagostino, M.",1
"Trosclair, P.L.",1
"Rubolini, D.",1
"Ujvari, B.",2
"Brown, J.",1
"Saino, N.",1
"Aydinonat, D.",1
"Mart�nez-Padilla, J.",1
"Eastwood, J.R.",1
"Ketterson, E.D.",1
"Cherdsukjai, P.",1
"Roast, M.J.",1
"Bennett, N.C.",1
"GilotFromont, E.",1
"Becker, P.H.",1
"Charters, J.E.",1
"Potti, J.",1
"Safran, R.J.",1
"McClean, T.M.",1
"Mart�nezSolano, �.",1
"Huntington, C.E.",1
"Criscuolo, F.",5
"Voillemot, M.",1
"Wagner, R.H.",1
"Nilsson, J. F.",1
"Sosa, S.",1
"Sudyka, J.",1
"Kumoun, S.",1
"Boonekamp, J.J.",1
"Vecchio, D.",1
"Place, N.J.",1
"Sudo, R.",1
"Asghar, M.",1
"Abkowitz, J.L.",1
"Saraux, C.",1
"Linskens, M.H.K.",1
"Moreno, J.",1
"Zahn, S.",4
"Dubiec, A.",1
"Nergadze, S.G.",1
"Bauch, C.",3
"Lank, D.B.",1
"Thitaram, C.",1
"Smith, S.",1
"Monaghan, P.",2
"Divoky, G.",1
"Moodley, Y.",1
"Figuerola, J.",1
"Treidel, L.A.",1
"Cramp, R.L.",1
"Mortega, K.G.",1
"GomezMestre, I.",1
"Korsten, P.",1
"Okanoya, K.",1
"Rojas, E.R.",1
"Isaksson, C.",1
"Buddhachat, K.",2
"ZamoraCamacho, F.J.",1
"Arct, A.",1
"Garde, E.",1
"Eimes, J.A.",1
"Bauer, C.M.",1
"Kerth, G.",1
"Tissier, M.L.",1
"Lejeune, M.",1
"Lansdorp, P.M.",2
"Roth, J.D.",1
"Winkler, D.W.",1
"Panasiak, L.",1
"Litwa, H.P.",1
"Larsson, K.",1
"Madsen, Thomas",1
"Smith, J.R.",1
"Moore, I.T.",1
"Madsen, T.",1
"Ruuskanen, S.",1
"Simons, M.J.P.",1
"Robbins, J.",1
"Cheynel, L.",1
"Metcalfe, N.B.",2
"Fick, L.J.",1
"Pauliny, A.",2
"Dorrens, J.",1
"Pilkington, J.G.",1
"Flinks, H.",1
"Rebelo, H.",1
"Farcy, O.",1
"Wallis, C.V.",1
"Helm, B.",1
"Peters, A.",1
"Blomqvist, D.",2
"Burraco, P.",1
"Ocalewicz, K.",1
"Majer, A.D.",1
"Sisson, Z.",1
"Ruiz Castellano, C.",1
"Delahay, R.",1
"Reguera, S.",1
"Comas, M.",1
"Young, A.",1
"R�ale, D.",1
"Soler, J.J.",1
"Fick, G.H.",1
"Vernasco, B.J.",1
"R�th, A.",1
"Reichert, S.",1
"Denham, M.M.",1
"Cicho?, M.",1
"Juola, F.A.",2
"Brandt Ryder, T.",1
"Holberton, R.L.",1
"Granadeiro, J.P.",1
"Brown, J. L.",1
"Hansson, B.",1
"Viblanc, V.A.",1
"Knauer, F.",1
"Jebb, D.",1
"Hughes, G.M.",1
"Thomson, R.L.",1
"Lundsgaard, N.U.",1
"Sz�p, T.",1
"Schoech, S.J.",1
"Saito, T.",1
"Burke, T.A.",1
"Khoriauli, L.",1
